instruction,source_width,source_vec_len,destination_width,destination_vec_len
vfcpkd.ah.d,64,1,16,4
vfcvt.s.ah,16,4,32,2
vfcvtu.s.ah,,,,
vfcvt.ah.s,32,2,16,4
vfcvtu.ah.s,,,,
vfadd.b,8,8,8,8
vfadd.r.b,8,8,8,8
vfsub.b,8,8,8,8
vfsub.r.b,8,8,8,8
vfmul.b,8,8,8,8
vfmul.r.b,8,8,8,8
vfdiv.b,8,8,8,8
vfdiv.r.b,8,8,8,8
vfmin.b,8,8,8,8
vfmin.r.b,8,8,8,8
vfmax.b,8,8,8,8
vfmax.r.b,8,8,8,8
vfsqrt.b,8,8,8,8
vfmac.b,8,8,8,8
vfmac.r.b,8,8,8,8
vfmre.b,8,8,8,8
vfmre.r.b,8,8,8,8
vfsgnj.b,8,8,8,8
vfsgnj.r.b,8,8,8,8
vfsgnjn.b,8,8,8,8
vfsgnjn.r.b,8,8,8,8
vfsgnjx.b,8,8,8,8
vfsgnjx.r.b,8,8,8,8
vfeq.b,8,8,8,8
vfeq.r.b,8,8,8,8
vfne.b,8,8,8,8
vfne.r.b,8,8,8,8
vflt.b,8,8,8,8
vflt.r.b,8,8,8,8
vfge.b,8,8,8,8
vfge.r.b,8,8,8,8
vfle.b,8,8,8,8
vfle.r.b,8,8,8,8
vfgt.b,8,8,8,8
vfgt.r.b,8,8,8,8
vfmv.x.b,,,,
vfmv.b.x,,,,
vfclass.b,8,8,8,8
vfcvt.x.b,,,,
vfcvt.xu.b,,,,
vfcvt.b.x,,,,
vfcvt.b.xu,,,,
vfcpka.b.s,32,1,8,8
vfcpkb.b.s,32,1,8,8
vfcpkc.b.s,32,1,8,8
vfcpkd.b.s,32,1,8,8
vfcpka.b.d,64,1,8,8
vfcpkb.b.d,64,1,8,8
vfcpkc.b.d,64,1,8,8
vfcpkd.b.d,64,1,8,8
vfcvt.s.b,8,8,32,4
vfcvtu.s.b,,,,
vfcvt.b.s,32,2,8,8
vfcvtu.b.s,,,,
vfcvt.h.b,8,8,16,4
vfcvtu.h.b,,,,
vfcvt.b.h,16,4,8,8
vfcvtu.b.h,,,,
vfcvt.ah.b,8,8,16,4
vfcvtu.ah.b,,,,
vfcvt.b.ah,16,4,8,8
vfcvtu.b.ah,,,,
vfcvt.b.b,8,8,8,8
vfcvt.ab.b,8,8,8,8
vfcvt.b.ab,8,8,8,8
vfcvtu.b.b,,,,
vfcvtu.ab.b,,,,
vfcvtu.b.ab,,,,
vfadd.ab,8,8,8,8
vfadd.r.ab,8,8,8,8
vfsub.ab,8,8,8,8
vfsub.r.ab,8,8,8,8
vfmul.ab,8,8,8,8
vfmul.r.ab,8,8,8,8
vfdiv.ab,8,8,8,8
vfdiv.r.ab,8,8,8,8
vfmin.ab,8,8,8,8
vfmin.r.ab,8,8,8,8
vfmax.ab,8,8,8,8
vfmax.r.ab,8,8,8,8
vfsqrt.ab,8,8,8,8
vfmac.ab,8,8,8,8
vfmac.r.ab,8,8,8,8
vfmre.ab,8,8,8,8
vfmre.r.ab,8,8,8,8
vfsgnj.ab,8,8,8,8
vfsgnj.r.ab,8,8,8,8
vfsgnjn.ab,8,8,8,8
vfsgnjn.r.ab,8,8,8,8
vfsgnjx.ab,8,8,8,8
vfsgnjx.r.ab,8,8,8,8
vfeq.ab,8,8,8,8
vfeq.r.ab,8,8,8,8
vfne.ab,8,8,8,8
vfne.r.ab,8,8,8,8
vflt.ab,8,8,8,8
vflt.r.ab,8,8,8,8
vfge.ab,8,8,8,8
vfge.r.ab,8,8,8,8
vfle.ab,8,8,8,8
vfle.r.ab,8,8,8,8
vfgt.ab,8,8,8,8
vfgt.r.ab,8,8,8,8
vfmv.x.ab,,,,
vfmv.ab.x,,,,
vfclass.ab,8,8,8,8
vfcvt.x.ab,,,,
vfcvt.xu.ab,,,,
vfcvt.ab.x,,,,
vfcvt.ab.xu,,,,
vfcpka.ab.s,32,1,8,8
vfcpkb.ab.s,32,1,8,8
vfcpkc.ab.s,32,1,8,8
vfcpkd.ab.s,32,1,8,8
vfcpka.ab.d,64,1,8,8
vfcpkb.ab.d,64,1,8,8
vfcpkc.ab.d,64,1,8,8
vfcpkd.ab.d,64,1,8,8
vfcvt.s.ab,8,8,32,4
vfcvtu.s.ab,,,,
vfcvt.ab.s,32,2,8,8
vfcvtu.ab.s,,,,
vfcvt.h.ab,8,8,16,4
vfcvtu.h.ab,,,,
vfcvt.ab.h,16,4,8,8
vfcvtu.ab.h,,,,
vfcvt.ah.ab,8,8,16,4
vfcvtu.ah.ab,,,,
vfcvt.ab.ah,16,4,8,8
vfcvtu.ab.ah,,,,
fmulex.s.h,16,4,32,2
fmacex.s.h,16,4,32,2
fmulex.s.ah,16,4,32,2
fmacex.s.ah,16,4,32,2
fmulex.s.b,8,8,32,2
fmacex.s.b,8,8,32,2
fmulex.s.ab,8,8,32,2
fmacex.s.ab,8,8,32,2
vfsum.s,32,2,32,1
vfnsum.s,32,2,32,1
vfsum.h,16,4,16,1
vfnsum.h,16,4,16,1
vfsum.ah,16,4,16,1
vfnsum.ah,16,4,16,1
vfsum.b,8,8,8,8
vfnsum.b,8,8,8,8
vfsum.ab,8,8,8,8
vfnsum.ab,8,8,8,8
vfsumex.s.h,16,4,32,2
vfnsumex.s.h,16,4,32,2
vfdotpex.s.h,16,4,32,2
vfdotpex.s.r.h,16,4,32,2
vfndotpex.s.h,16,4,32,2
vfndotpex.s.r.h,16,4,32,2
vfsumex.s.ah,16,4,32,2
vfnsumex.s.ah,16,4,32,2
vfdotpex.s.ah,16,4,32,2
vfdotpex.s.r.ah,16,4,32,2
vfndotpex.s.ah,16,4,32,2
vfndotpex.s.r.ah,16,4,32,2
vfsumex.h.b,8,8,16,4
vfnsumex.h.b,8,8,16,4
vfdotpex.h.b,8,8,16,4
vfdotpex.h.r.b,8,8,16,4
vfndotpex.h.b,8,8,16,4
vfndotpex.h.r.b,8,8,16,4
vfsumex.ah.b,8,8,16,4
vfnsumex.ah.b,8,8,16,4
vfdotpex.ah.b,8,8,16,4
vfdotpex.ah.r.b,8,8,16,4
vfndotpex.ah.b,8,8,16,4
vfndotpex.ah.r.b,8,8,16,4
vfsumex.h.ab,8,8,16,4
vfnsumex.h.ab,8,8,16,4
vfdotpex.h.ab,8,8,16,4
vfdotpex.h.r.ab,8,8,16,4
vfndotpex.h.ab,8,8,16,4
vfndotpex.h.r.ab,8,8,16,4
vfsumex.ah.ab,8,8,16,4
vfnsumex.ah.ab,8,8,16,4
vfdotpex.ah.ab,8,8,16,4
vfdotpex.ah.r.ab,8,8,16,4
vfndotpex.ah.ab,8,8,16,4
vfndotpex.ah.r.ab,8,8,16,4
